rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/iterations,train/entropy_loss,train/learning_rate,train/value_loss,train/loss,train/n_updates,train/policy_gradient_loss,train/clip_fraction,train/explained_variance,train/approx_kl,train/clip_range
343.2,534,3,-565.6,2048,1,,,,,,,,,,
225.83333333333334,180,22,-613.0,4096,2,-1.3068831802035372,0.001,570.1626222610473,73.05770874023438,15,-0.02452060674416619,0.07591145833333333,-0.0004532337188720703,0.1040921,0.5
217.07407407407408,148,41,-532.5925925925926,6144,3,-1.3509919739017884,0.001,407.1993542869886,77.13758087158203,30,-0.05033005143462409,0.23655598958333332,0.23363500833511353,0.09466986,0.5
246.15151515151516,136,59,-527.7878787878788,8192,4,-1.3386315268774827,0.001,298.21249058942,91.22683715820312,45,-0.05005577191332122,0.17483723958333333,0.10830283164978027,0.09696477,0.5
245.9268292682927,130,78,-473.6341463414634,10240,5,-1.2857016673311592,0.001,331.21239071140684,30.94182586669922,60,-0.03951862611126368,0.17766927083333334,0.20142239332199097,0.08356646,0.5
254.0,128,95,-435.8723404255319,12288,6,-1.3185254320502282,0.001,308.9852279881636,74.94874572753906,75,-0.0341880192963193,0.12877604166666667,-0.12896037101745605,0.06887701,0.5
253.42857142857142,117,122,-384.73214285714283,14336,7,-1.2156685030087828,0.001,219.4960538685322,75.77632904052734,90,-0.033339702657152276,0.13649088541666668,-0.07867991924285889,0.10296219,0.5
260.5806451612903,115,141,-342.46774193548384,16384,8,-1.227161072442929,0.001,326.56612852911155,71.26602935791016,105,-0.02719848234434418,0.12135416666666667,0.28245317935943604,0.08361046,0.5
275.09090909090907,115,159,-350.0151515151515,18432,9,-1.198373730139186,0.001,146.68610418612758,17.067127227783203,120,-0.03778665179076294,0.17841796875,0.09889400005340576,0.10118909,0.5
279.09589041095893,114,178,-309.83561643835617,20480,10,-1.1279013701093694,0.001,183.66846269170443,44.486534118652344,135,-0.0448289014287487,0.17379557291666667,0.4772878885269165,0.09501116,0.5
