episode,total_reward,epsilon,loss,episode_length
0,-25,0.995,0.0,29
1,-790,0.990025,0.0,500
2,-22,0.985074875,0.0,46
3,-221,0.9801495006250001,0.0,141
4,-782,0.9752487531218751,0.0,488
5,-7,0.9703725093562657,0.0,17
6,-61,0.9655206468094844,0.0,132
7,-472,0.960693043575437,2.235865592956543,290
8,-201,0.9558895783575597,2.235865592956543,263
9,-416,0.9511101304657719,2.235865592956543,379
10,-1360,0.946354579813443,2.235865592956543,500
11,-680,0.9416228069143757,2.235865592956543,489
12,-181,0.9369146928798039,2.235865592956543,252
13,-361,0.9322301194154049,2.235865592956543,313
14,-565,0.9275689688183278,2.235865592956543,363
15,86,0.9229311239742362,7.235228538513184,77
16,-834,0.918316468354365,7.235228538513184,500
17,31,0.9137248860125932,7.235228538513184,157
18,-645,0.9091562615825302,7.235228538513184,500
19,-343,0.9046104802746175,7.235228538513184,158
20,-365,0.9000874278732445,7.235228538513184,268
21,241,0.8955869907338783,7.235228538513184,131
22,-5,0.8911090557802088,7.235228538513184,79
23,-492,0.8866535105013078,-3.4299681186676025,297
24,-1317,0.8822202429488013,-3.4299681186676025,500
25,-1297,0.8778091417340573,-3.4299681186676025,500
26,22,0.8734200960253871,-3.4299681186676025,20
27,-188,0.8690529955452602,-3.4299681186676025,321
28,-241,0.8647077305675338,-3.4299681186676025,144
29,-359,0.8603841919146962,-3.4299681186676025,264
30,-21,0.8560822709551227,-3.4299681186676025,30
31,-9,0.851801859600347,7.179414749145508,134
32,-724,0.8475428503023453,7.179414749145508,161
33,-542,0.8433051360508336,7.179414749145508,376
34,-1109,0.8390886103705794,7.179414749145508,500
35,42,0.8348931673187264,7.179414749145508,113
36,-635,0.8307187014821328,7.179414749145508,404
37,-606,0.8265651079747222,7.179414749145508,361
38,71,0.8224322824348486,7.179414749145508,154
39,-382,0.8183201210226743,2.254577159881592,421
40,-147,0.8142285204175609,2.254577159881592,146
41,-265,0.810157377815473,2.254577159881592,245
42,-168,0.8061065909263957,2.254577159881592,230
43,116,0.8020760579717637,2.254577159881592,102
44,-53,0.798065677681905,2.254577159881592,26
45,-7,0.7940753492934954,2.254577159881592,32
46,-1095,0.7901049725470279,2.254577159881592,500
47,-202,0.7861544476842928,0.3274662494659424,52
48,-14,0.7822236754458713,0.3274662494659424,82
49,-900,0.778312557068642,0.3274662494659424,500
50,-341,0.7744209942832988,0.3274662494659424,299
51,-25,0.7705488893118823,0.3274662494659424,133
52,1,0.7666961448653229,0.3274662494659424,42
53,84,0.7628626641409962,0.3274662494659424,164
54,-559,0.7590483508202912,0.3274662494659424,287
55,-1481,0.7552531090661897,2.587222099304199,500
56,14,0.7514768435208588,2.587222099304199,127
57,-1227,0.7477194593032545,2.587222099304199,493
58,-65,0.7439808620067382,2.587222099304199,86
59,-54,0.7402609576967045,2.587222099304199,192
60,-258,0.736559652908221,2.587222099304199,222
61,-583,0.7328768546436799,2.587222099304199,280
62,-49,0.7292124703704616,2.587222099304199,332
63,-74,0.7255664080186093,-0.044548749923706055,153
64,-66,0.7219385759785162,-0.044548749923706055,251
65,-1014,0.7183288830986236,-0.044548749923706055,500
66,-331,0.7147372386831305,-0.044548749923706055,277
67,17,0.7111635524897149,-0.044548749923706055,57
68,-425,0.7076077347272662,-0.044548749923706055,351
69,-163,0.7040696960536299,-0.044548749923706055,141
70,-97,0.7005493475733617,-0.044548749923706055,136
71,10,0.697046600835495,6.360341548919678,162
72,-161,0.6935613678313175,6.360341548919678,228
73,-106,0.6900935609921609,6.360341548919678,207
74,-921,0.6866430931872001,6.360341548919678,500
75,-498,0.6832098777212641,6.360341548919678,232
76,23,0.6797938283326578,6.360341548919678,15
77,110,0.6763948591909945,6.360341548919678,214
78,-682,0.6730128848950395,6.360341548919678,500
79,-136,0.6696478204705644,1.648742914199829,78
80,-598,0.6662995813682115,1.648742914199829,362
81,-361,0.6629680834613705,1.648742914199829,384
82,-124,0.6596532430440636,1.648742914199829,328
83,-68,0.6563549768288433,1.648742914199829,257
84,-791,0.653073201944699,1.648742914199829,500
85,-2,0.6498078359349755,1.648742914199829,264
86,-434,0.6465587967553006,1.648742914199829,299
87,-93,0.6433260027715241,-3.822269916534424,136
88,-335,0.6401093727576664,-3.822269916534424,198
89,47,0.6369088258938781,-3.822269916534424,313
90,-73,0.6337242817644086,-3.822269916534424,69
91,-292,0.6305556603555866,-3.822269916534424,147
92,88,0.6274028820538087,-3.822269916534424,88
93,-1369,0.6242658676435396,-3.822269916534424,500
94,-127,0.6211445383053219,-3.822269916534424,22
95,-356,0.6180388156137953,-3.266909122467041,227
96,-231,0.6149486215357263,-3.266909122467041,486
97,-471,0.6118738784280476,-3.266909122467041,406
98,-192,0.6088145090359074,-3.266909122467041,263
99,-527,0.6057704364907278,-3.266909122467041,345
100,-638,0.6027415843082742,-3.266909122467041,500
101,-170,0.5997278763867329,-3.266909122467041,309
102,-633,0.5967292370047992,-3.266909122467041,500
103,90,0.5937455908197752,7.132633686065674,110
104,-206,0.5907768628656763,7.132633686065674,235
105,-6,0.5878229785513479,7.132633686065674,69
106,-368,0.5848838636585911,7.132633686065674,145
107,-66,0.5819594443402982,7.132633686065674,142
108,-1093,0.5790496471185967,7.132633686065674,500
109,-1110,0.5761543988830038,7.132633686065674,500
110,-918,0.5732736268885887,7.132633686065674,500
111,-364,0.5704072587541458,5.253599166870117,124
112,101,0.567555222460375,5.253599166870117,241
113,-698,0.5647174463480732,5.253599166870117,379
114,-622,0.5618938591163328,5.253599166870117,500
115,-741,0.5590843898207511,5.253599166870117,492
116,-120,0.5562889678716474,5.253599166870117,306
117,-905,0.5535075230322891,5.253599166870117,500
118,83,0.5507399854171277,5.253599166870117,187
119,-1207,0.547986285490042,6.77528715133667,500
120,-138,0.5452463540625918,6.77528715133667,123
121,-291,0.5425201222922789,6.77528715133667,291
122,-246,0.5398075216808175,6.77528715133667,59
123,72,0.5371084840724134,6.77528715133667,143
124,-191,0.5344229416520513,6.77528715133667,401
125,-893,0.531750826943791,6.77528715133667,500
126,-391,0.5290920728090721,6.77528715133667,307
127,-1215,0.5264466124450268,-9.379899978637695,500
128,0,0.5238143793828016,-9.379899978637695,60
129,46,0.5211953074858876,-9.379899978637695,177
130,-51,0.5185893309484582,-9.379899978637695,171
131,-38,0.5159963842937159,-9.379899978637695,49
132,-329,0.5134164023722473,-9.379899978637695,172
133,-646,0.510849320360386,-9.379899978637695,297
134,74,0.5082950737585841,-9.379899978637695,39
135,-1030,0.5057535983897912,3.915975332260132,500
136,-828,0.5032248303978422,3.915975332260132,500
137,-179,0.500708706245853,3.915975332260132,161
138,-98,0.4982051627146237,3.915975332260132,483
139,-987,0.49571413690105054,3.915975332260132,434
140,-73,0.4932355662165453,3.915975332260132,73
141,-571,0.4907693883854626,3.915975332260132,465
142,-689,0.4883155414435353,3.915975332260132,462
143,-378,0.4858739637363176,2.0232481956481934,339
