rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/iterations,train/entropy_loss,train/learning_rate,train/value_loss,train/loss,train/n_updates,train/policy_gradient_loss,train/clip_fraction,train/explained_variance,train/approx_kl,train/clip_range
490.5,619,1,-1090.5,1024,1,,,,,,,,,,
241.75,390,5,-600.0,2048,2,-1.3517680529505014,0.0005,1645.5585596084595,1160.963623046875,10,-0.025586198597738984,0.17900390625,0.00038117170333862305,0.03959761,0.3
246.72727272727272,348,8,-572.1818181818181,3072,3,-1.370873486623168,0.0005,2544.234871673584,1948.5833740234375,20,-0.026541402403381653,0.13525390625,4.8220157623291016e-05,0.03163311,0.3
233.8235294117647,317,12,-531.3529411764706,4096,4,-1.3612992279231548,0.0005,889.032532119751,765.8468017578125,30,-0.01572341652063187,0.16865234375,-4.410743713378906e-06,0.018056717,0.3
223.8181818181818,304,16,-472.5,5120,5,-1.364443638175726,0.0005,2261.6482177734374,1923.797607421875,40,-0.013948380512010772,0.1080078125,-0.0007156133651733398,0.01920063,0.3
234.42307692307693,291,21,-447.0,6144,6,-1.3699756935238838,0.0005,1263.38175239563,1042.0086669921875,50,-0.007988333787943702,0.0,0.005592942237854004,0.009632065,0.3
225.19354838709677,288,24,-422.03225806451616,7168,7,-1.369566298648715,0.0005,1100.4770846366882,1322.41162109375,60,-0.002772105998155894,0.0,0.09241980314254761,0.001792471,0.3
207.28205128205127,278,29,-363.7435897435897,8192,8,-1.3708973206579684,0.0005,1117.877230644226,615.3975219726562,70,-0.0008785464553511702,0.0,0.27197396755218506,0.0004322339,0.3
202.52272727272728,276,33,-333.3181818181818,9216,9,-1.3708993144333363,0.0005,600.302595424652,622.2992553710938,80,-0.005593701064935885,0.0,0.12555420398712158,0.006775748,0.3
196.34615384615384,274,37,-321.75,10240,10,-1.3728772331029178,0.0005,554.3446906089782,466.5088195800781,90,-0.007296134539501509,0.0,0.07340967655181885,0.008904569,0.3
193.53571428571428,273,41,-298.0357142857143,11264,11,-1.3764725759625436,0.0005,1225.1676626205444,1127.76416015625,100,-0.0037083858951518778,0.0,0.23961222171783447,0.0027171061,0.3
199.2622950819672,274,44,-316.60655737704917,12288,12,-1.368213054537773,0.0005,1451.6211794853211,1687.157958984375,110,-0.017089942660822997,0.01435546875,0.1559290885925293,0.019217694,0.3
202.5076923076923,269,49,-324.4153846153846,13312,13,-1.3710175108164548,0.0005,1262.9188535690307,694.4484252929688,120,-0.010552914895379217,0.0,0.20793646574020386,0.010112509,0.3
203.34285714285716,263,54,-318.42857142857144,14336,14,-1.3738411240279675,0.0005,895.3191343307495,643.0216064453125,130,-0.005619051071698777,0.0,0.1708323359489441,0.005549888,0.3
201.78666666666666,260,58,-310.88,15360,15,-1.3726749066263437,0.0005,951.572378540039,489.2194519042969,140,-0.009392741820920491,0.0,0.0989564061164856,0.013844525,0.3
207.28205128205127,255,64,-321.56410256410254,16384,16,-1.3708999693393706,0.0005,583.2605602264405,393.2968444824219,150,-0.012126196550161695,0.02470703125,0.15788429975509644,0.021058988,0.3
197.20454545454547,253,68,-302.2613636363636,17408,17,-1.3664360862225293,0.0005,828.8275707244873,287.8760986328125,160,-0.01730610930972034,0.03662109375,0.2674054503440857,0.0291357,0.3
200.1,252,72,-305.8888888888889,18432,18,-1.3653342481702566,0.0005,794.7040146350861,832.074462890625,170,-0.01646479649352841,0.03515625,0.3785061240196228,0.024692852,0.3
201.85263157894738,251,77,-305.7578947368421,19456,19,-1.366778901964426,0.0005,609.5642754554749,281.1847839355469,180,-0.007764618244982558,0.02001953125,0.3140590190887451,0.011078326,0.3
207.96938775510205,251,81,-324.33673469387753,20480,20,-1.3593631017953158,0.0005,600.4365618705749,235.7034912109375,190,-0.012092430441407486,0.06416015625,0.3411991000175476,0.03172522,0.3
204.21,251,85,-309.61,21504,21,-1.3665428686887027,0.0005,1238.379855632782,995.9325561523438,200,-0.02248949591012206,0.101953125,0.2810554504394531,0.032529496,0.3
211.55,251,89,-317.86,22528,22,-1.3485341783612967,0.0005,636.7557017803192,610.4967651367188,210,-0.011299220177170355,0.03505859375,0.2933468222618103,0.023786992,0.3
