rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/iterations,train/entropy_loss,train/learning_rate,train/value_loss,train/loss,train/n_updates,train/policy_gradient_loss,train/clip_fraction,train/explained_variance,train/approx_kl,train/clip_range
500.0,608,0,-1145.0,512,1,,,,,,,,,,
350.0,359,2,-781.5,1024,2,-1.3831394113600255,0.0001,2823.8210830688477,3144.913330078125,20,-0.008362364250933752,0.0283203125,0.000993192195892334,0.0062063616,0.2
287.0,317,4,-538.6,1536,3,-1.3774244569242,0.0001,1980.5566886901856,1645.93115234375,40,-0.007975024859479162,0.04384765625,-0.0037567615509033203,0.00635888,0.2
217.22222222222223,303,6,-328.3333333333333,2048,4,-1.3759144604206086,0.0001,2037.1373970031739,1823.839111328125,60,-0.001918550748087,0.0,-0.00017011165618896484,0.0018648545,0.2
237.9,289,8,-356.8,2560,5,-1.3762247435748578,0.0001,1484.7065189361572,1318.4691162109375,80,-0.01716933861025609,0.13427734375,-0.00015342235565185547,0.013043673,0.2
245.1818181818182,284,10,-388.72727272727275,3072,6,-1.3748449608683586,0.0001,1860.521231842041,1625.26513671875,100,-0.005113600200274959,0.0,0.00014919042587280273,0.0018524867,0.2
265.0,280,12,-458.2307692307692,3584,7,-1.3787156976759434,0.0001,2002.5361701965332,1537.0616455078125,120,-0.0027113119154819286,0.0,-0.0001423358917236328,0.0008621869,0.2
281.7857142857143,277,14,-483.42857142857144,4096,8,-1.3760791346430779,0.0001,3358.7699211120607,2789.548583984375,140,-0.002573027217295021,0.0,-9.441375732421875e-05,0.0006881632,0.2
274.5,274,16,-473.625,4608,9,-1.374504990875721,0.0001,2463.8750549316405,1928.2215576171875,160,-0.0021673605049727486,0.0,1.1026859283447266e-05,0.00066336605,0.2
246.6,274,18,-405.5,5120,10,-1.3705748371779918,0.0001,1246.6776050567628,1353.53076171875,180,-0.008519651865935885,0.01826171875,4.303455352783203e-05,0.01059893,0.2
254.57142857142858,270,20,-422.85714285714283,5632,11,-1.360915593057871,0.0001,2471.752186584473,2344.057373046875,200,-0.0022036561262211763,0.0,-1.633167266845703e-05,0.0017054031,0.2
254.70833333333334,268,22,-425.375,6144,12,-1.3622063115239142,0.0001,1999.5055694580078,1877.2109375,220,-0.000875345517124515,0.0,-2.002716064453125e-05,0.00033643574,0.2
254.96153846153845,268,24,-411.4230769230769,6656,13,-1.3638350792229175,0.0001,1653.4157859802247,1872.402587890625,240,-0.0014982666034484282,0.0,4.5418739318847656e-05,0.0005860949,0.2
253.33333333333334,268,26,-404.81481481481484,7168,14,-1.3603217996656896,0.0001,1564.255726623535,1391.8153076171875,260,-0.013998989865649491,0.035546875,6.496906280517578e-06,0.013383241,0.2
252.4,266,28,-388.9,7680,15,-1.3671161010861397,0.0001,1573.0020072937011,1250.2301025390625,280,-0.016703172979759984,0.09873046875,-2.8252601623535156e-05,0.012830587,0.2
247.0909090909091,265,30,-372.030303030303,8192,16,-1.3715498447418213,0.0001,1026.2805717468261,1017.6695556640625,300,-0.005798880616202951,0.02099609375,1.4066696166992188e-05,0.0062722657,0.2
248.22857142857143,265,32,-372.6,8704,17,-1.3731106862425804,0.0001,1271.6331439971923,1047.041748046875,320,-0.0019747411453863604,0.0,1.3470649719238281e-05,0.002551733,0.2
246.64864864864865,265,34,-371.2972972972973,9216,18,-1.3698099911212922,0.0001,1635.7028915405274,1635.853515625,340,-0.004084179451456294,0.0,-4.172325134277344e-06,0.0022747554,0.2
253.31578947368422,265,36,-381.7105263157895,9728,19,-1.3680824287235738,0.0001,2051.2354995727537,2380.927490234375,360,-0.004365209190291352,0.00234375,2.0265579223632812e-06,0.0070125763,0.2
251.65,265,38,-375.2,10240,20,-1.3671886309981347,0.0001,2122.8239906311037,2016.7364501953125,380,-0.0037642638344550505,0.0,-3.4570693969726562e-06,0.0014525111,0.2
251.6904761904762,265,40,-375.23809523809524,10752,21,-1.3698168240487576,0.0001,2901.2149993896483,3173.601318359375,400,-0.0025827258607023394,0.0,1.0609626770019531e-05,0.0005165852,0.2
243.02173913043478,265,42,-356.8478260869565,11264,22,-1.363104411959648,0.0001,1632.5900772094726,1399.19970703125,420,-0.01980068046832457,0.29150390625,4.76837158203125e-07,0.016479827,0.2
233.62,265,44,-331.74,11776,23,-1.3590850867331028,0.0001,1225.4743789672852,1560.3297119140625,440,-0.01248012218857184,0.11015625,2.086162567138672e-06,0.0084854625,0.2
238.13725490196077,265,46,-349.15686274509807,12288,24,-1.3644166141748428,0.0001,2033.844882965088,1969.5225830078125,460,-0.001224233047105372,0.0,1.800060272216797e-05,0.00027848606,0.2
228.41071428571428,265,48,-340.07142857142856,12800,25,-1.3639570891857147,0.0001,2375.730453491211,2251.562255859375,480,-0.0010219222196610645,0.0,1.9431114196777344e-05,8.5222535e-05,0.2
221.26666666666668,265,50,-323.48333333333335,13312,26,-1.365234387665987,0.0001,2061.1490684509276,1356.3134765625,500,-0.0008854020445141942,0.0,5.424022674560547e-06,0.00011546782,0.2
213.734375,265,52,-302.015625,13824,27,-1.371389774978161,0.0001,1656.1337432861328,1925.873779296875,520,-0.004013565892819315,9.765625e-05,1.0073184967041016e-05,0.0060564606,0.2
216.43939393939394,265,54,-307.25757575757575,14336,28,-1.3686878345906734,0.0001,722.2276948928833,1165.8638916015625,540,-0.005390460658236407,0.0,7.331371307373047e-06,0.0056160865,0.2
217.91176470588235,264,56,-305.88235294117646,14848,29,-1.3735080078244208,0.0001,1620.0151496887206,2010.1417236328125,560,-7.869354158174247e-05,0.0,0.00024759769439697266,8.1892475e-05,0.2
217.1,265,57,-301.9714285714286,15360,30,-1.3732772327959537,0.0001,797.5645240783691,622.7160034179688,580,-0.006204759606043808,0.0,8.493661880493164e-05,0.003251059,0.2
216.54794520547946,264,59,-300.3150684931507,15872,31,-1.373666974902153,0.0001,1586.542527770996,1441.01123046875,600,-0.0025126356398686767,0.0,0.003013014793395996,0.00065305724,0.2
215.44736842105263,265,61,-302.4736842105263,16384,32,-1.3709750421345235,0.0001,1242.3665500640868,1038.9554443359375,620,-0.0007218922663014382,0.0,0.005986988544464111,6.6188164e-05,0.2
212.53164556962025,265,63,-303.6455696202532,16896,33,-1.3738996855914594,0.0001,2271.9764053344725,2418.041259765625,640,-0.0012931710603879764,0.0,0.018485307693481445,0.00021331187,0.2
213.28395061728395,265,65,-308.28395061728395,17408,34,-1.374313859641552,0.0001,2234.3060455322266,2148.3466796875,660,-0.0006167970001115464,0.0,0.0046672821044921875,0.00010531687,0.2
207.88372093023256,265,67,-294.9418604651163,17920,35,-1.3758892685174942,0.0001,2080.656555938721,2342.4208984375,680,-0.0013055701041594149,0.0,0.015381336212158203,0.00020436407,0.2
204.70454545454547,265,69,-288.5681818181818,18432,36,-1.3747388243675231,0.0001,1127.8307765960694,913.1798095703125,700,-0.0010598858876619487,0.0,0.07909584045410156,9.540026e-05,0.2
207.6067415730337,265,71,-296.87640449438203,18944,37,-1.375603723526001,0.0001,1572.9654148101806,1976.41162109375,720,-0.00038739104638807476,0.0,0.11282694339752197,4.056678e-05,0.2
208.7173913043478,265,73,-301.4891304347826,19456,38,-1.375154472142458,0.0001,778.1547336578369,633.5534057617188,740,-0.0010146510117920115,0.0,0.15846145153045654,0.00012066658,0.2
207.69791666666666,265,75,-291.7708333333333,19968,39,-1.376818235963583,0.0001,2103.3215721130373,2199.103515625,760,-0.0005531759961741045,0.0,0.21617454290390015,4.6987552e-05,0.2
207.7422680412371,265,77,-291.1546391752577,20480,40,-1.3768832832574844,0.0001,1825.332566833496,1780.4462890625,780,-0.0007455949016730301,0.0,0.054512739181518555,9.128312e-05,0.2
208.56,265,78,-293.4,20992,41,-1.37678706869483,0.0001,1626.295613861084,1180.8638916015625,800,-0.0010774427617434412,0.0,0.05109739303588867,9.925687e-05,0.2
199.57,265,81,-270.01,21504,42,-1.3776441566646098,0.0001,1263.1485359191895,1001.23876953125,820,-0.00046818040718790146,0.0,0.14184969663619995,3.1960197e-05,0.2
202.65,264,83,-267.64,22016,43,-1.3785346359014512,0.0001,877.888826751709,781.8447265625,840,-0.00021617510356009007,0.0,0.11936420202255249,1.9821222e-05,0.2
198.1,264,85,-266.22,22528,44,-1.3778974920511247,0.0001,692.0867420196533,579.9500122070312,860,-0.00030673341534566135,0.0,0.25535839796066284,1.6276375e-05,0.2
