time/fps,time/total_timesteps,rollout/ep_rew_mean,time/iterations,time/time_elapsed,rollout/ep_len_mean,train/learning_rate,train/approx_kl,train/clip_fraction,train/explained_variance,train/clip_range,train/loss,train/value_loss,train/n_updates,train/entropy_loss,train/policy_gradient_loss
776,2048,-565.6,1,2,343.2,,,,,,,,,,
263,4096,-977.3076923076923,2,15,312.38461538461536,0.0003,0.11233538,0.05872395833333333,-0.0003979206085205078,0.5,296.812255859375,1392.9064169486364,15,-1.300995822995901,-0.02349974554211561
218,6144,-672.6923076923077,3,28,235.19230769230768,0.0003,0.08970173,0.14697265625,0.21679848432540894,0.5,1173.0833740234375,2417.3349697271983,30,-1.3462928084035715,-0.038979139228952894
200,8192,-654.65625,4,40,252.71875,0.0003,0.10940697,0.18264973958333333,0.33531075716018677,0.5,610.609619140625,1449.3595827817917,45,-1.3730539492021003,-0.052791789874390815
191,10240,-749.9722222222222,5,53,280.19444444444446,0.0003,0.084321536,0.04723307291666667,0.09639716148376465,0.5,511.3690490722656,1463.2483403921128,60,-1.359915111338099,-0.016862950391562968
185,12288,-685.2325581395348,6,66,279.1860465116279,0.0003,0.093164146,0.180078125,0.30868983268737793,0.5,347.35400390625,1324.8291759729386,75,-1.361641113149623,-0.05469145931613942
182,14336,-554.3928571428571,7,78,253.625,0.0003,0.054348033,0.047591145833333334,0.2713978886604309,0.5,91.09539031982422,1512.906170376142,90,-1.3501517267897725,-0.026657715068843877
179,16384,-558.9516129032259,8,91,260.03225806451616,0.0003,0.073844805,0.04912109375,0.3890378475189209,0.5,324.9845275878906,928.1784890492758,105,-1.3262970314050715,-0.02574390398270528
177,18432,-456.0,9,104,230.1,0.0003,0.09524308,0.14811197916666666,0.2219143509864807,0.5,99.46528625488281,1045.7882777055104,120,-1.2615585381165146,-0.049048959445402336
175,20480,-437.7586206896552,10,116,232.45977011494253,0.0003,0.066911906,0.13893229166666668,0.3688090443611145,0.5,243.3468017578125,1192.879097723961,135,-1.288352551870048,-0.04506615442369366
173,22528,-395.47474747474746,11,129,226.78787878787878,0.0003,0.045468766,0.06920572916666666,0.0941917896270752,0.5,2171.916748046875,1374.605797302723,150,-1.2827375708147883,-0.030407683054363588
172,24576,-253.38,12,142,198.66,0.0003,0.055063985,0.06015625,0.22622030973434448,0.5,169.74705505371094,739.1634866754214,165,-1.2464853043978412,-0.026542197209831406
171,26624,-219.38,13,155,204.07,0.0003,0.05765195,0.09212239583333333,0.3312367796897888,0.5,390.37188720703125,801.8061899900437,180,-1.269195584083597,-0.025191622988980575
170,28672,-135.31,14,168,185.66,0.0003,0.05268488,0.0453125,0.1719578504562378,0.5,459.17724609375,1005.3028764645259,195,-1.2354062853381038,-0.01742065239183527
169,30720,-93.11,15,181,169.25,0.0003,0.084255435,0.15836588541666666,0.05954188108444214,0.5,187.70323181152344,894.5449770053227,210,-1.1856698700537285,-0.050629004570510006
166,32768,-65.31,16,196,165.09,0.0003,0.07158952,0.10341796875,0.2647847533226013,0.5,160.17347717285156,468.0668294628461,225,-1.2284834102417033,-0.02216182642077911
165,34816,-43.03,17,210,165.96,0.0003,0.062095825,0.07467447916666667,0.48449021577835083,0.5,256.6866149902344,725.8862324615319,240,-1.2565124827747545,-0.02051178961652719
165,36864,-32.52,18,222,168.5,0.0003,0.06403417,0.10494791666666667,0.3652465343475342,0.5,212.83375549316406,602.3699350814024,255,-1.261417509553333,-0.029055385550721742
164,38912,-16.66,19,235,164.7,0.0003,0.044826433,0.065625,0.21941912174224854,0.5,54.288631439208984,396.5967505991459,270,-1.2512358661741019,-0.025590770714431225
